Ward,Precinct,Registered Voters at 7am,Voters Registering at Polls,Voters Registering by Absentee,Total Registrations,Voters at Polls,Absentee Voters,Total Ballots Cast,Total Turnout,Percentage Absentee, % Registered to Total (Election Day),Spoiled Ballots
1,1,1878,25,3,28,492,27,519,0.2723,0.052,0.0508,14
1,2,2769,43,1,44,836,56,892,0.3171,0.0628,0.0514,22
1,3,2337,40,0,40,905,19,924,0.3887,0.0206,0.0442,34
1,4,2139,24,5,29,768,26,794,0.3662,0.0327,0.0313,19
1,5,1875,31,0,31,683,31,714,0.3746,0.0434,0.0454,14
1,6,2258,69,0,69,739,20,759,0.3262,0.0264,0.0934,32
1,7,1847,47,0,47,291,8,299,0.1579,0.0268,0.1615,17
1,8,1332,43,0,43,415,5,420,0.3055,0.0119,0.1036,22
1,9,2401,42,0,42,596,25,621,0.2542,0.0403,0.0705,15
2,1,2820,62,1,63,1011,39,1050,0.3642,0.0371,0.0613,42
2,2,1377,39,5,44,679,37,716,0.5039,0.0517,0.0574,28
2,3,1763,44,4,48,324,18,342,0.1888,0.0526,0.1358,19
2,4,1582,53,0,53,117,3,120,0.0734,0.025,0.453,3
2,5,1994,48,2,50,495,26,521,0.2549,0.0499,0.097,26
2,6,1120,35,1,36,433,19,452,0.391,0.042,0.0808,22
2,7,1013,39,0,39,138,7,145,0.1378,0.0483,0.2826,4
2,8,2543,49,1,50,1206,36,1242,0.479,0.029,0.0406,30
2,9,1162,37,2,39,351,16,367,0.3056,0.0436,0.1054,15
2,10,2822,87,0,87,196,5,201,0.0691,0.0249,0.4439,7
3,1,2305,52,0,52,165,1,166,0.0704,0.006,0.3152,11
3,2,1945,84,2,86,401,19,420,0.2068,0.0452,0.2095,9
3,3,2590,67,4,71,893,101,994,0.3735,0.1016,0.075,36
3,4,1840,64,1,65,640,35,675,0.3543,0.0519,0.1,28
3,5,1632,62,11,73,626,75,701,0.4111,0.107,0.099,24
3,6,2724,90,12,102,927,71,998,0.3531,0.0711,0.0971,48
3,7,2783,108,4,112,861,35,896,0.3095,0.0391,0.1254,30
