State,Expenditure,Pupil/teacher ratio,salary,Read,Math,Write,Total,percentSAT
Alabama,10,15.3,49948,556,550,544,1650,8
Alaska,17,16.2,62654,518,515,491,1524,52
Arizona,9,21.4,49298,519,525,500,1544,28
Arkansas,10,14.1,49033,566,566,552,1684,5
California,10,24.1,71611,501,516,500,1517,53
Colorado,10,17.4,51660,568,572,555,1695,19
Connecticut,16,13.1,67565,509,514,513,1536,87
Delaware,13,14.5,59932,493,495,481,1469,74
Florida,9,15.1,49042,496,498,479,1473,64
Georgia,10,14.9,55766,488,490,475,1453,80
Hawaii,13,15.8,57814,483,505,470,1458,64
Idaho,7,17.6,48596,543,541,517,1601,20
Illinois,13,15.7,65179,585,600,577,1762,5
Indiana,10,18,52484,494,505,477,1476,68
Iowa,11,14.3,52106,603,613,582,1798,3
Kansas,11,14,48988,590,595,567,1752,7
Kentucky,10,16,52019,575,575,563,1713,6
Louisiana,11,14.3,51347,555,550,547,1652,8
Maine,14,12.3,48410,468,467,454,1389,93
Maryland,15,14.6,67167,501,506,495,1502,74
Massachusetts,15,13.9,72734,512,526,509,1547,89
Michigan,12,17.9,60854,585,605,576,1766,5
Minnesota,11,15.9,55051,594,607,580,1781,7
Mississippi,9,15.2,47925,566,548,552,1666,4
Missouri,10,13.8,47581,593,595,580,1768,5
Montana,11,13.7,48045,538,538,517,1593,26
Nebraska,12,13.4,48537,585,593,568,1746,5
Nevada,9,20,54099,496,501,473,1470,47
New Hampshire,13,12.7,54013,520,524,510,1554,77
New Jersey,18,12.7,68384,495,514,497,1506,78
New Mexico,10,15.1,48569,553,549,534,1636,12
New York,20,12.9,75212,484,499,478,1461,89
North Carolina,9,15.2,49191,497,511,477,1485,67
North Dakota,11,11.4,45111,580,594,559,1733,3
Ohio,12,16.1,58754,538,548,522,1608,21
Oklahoma,9,16,50074,569,568,547,1684,6
Oregon,10,20.3,57983,523,524,499,1546,56
Pennsylvania,14,13.8,62112,492,501,480,1473,73
Rhode Island,16,12.8,62668,494,495,488,1477,68
South Carolina,10,16.1,49882,484,495,468,1447,70
South Dakota,10,13.3,40778,592,603,571,1766,4
Tennessee,9,14.8,48603,576,571,565,1712,10
Texas,10,14.7,50672,484,505,473,1462,58
Utah,7,22.8,48178,568,559,547,1674,6
Vermont,17,11.6,51537,519,521,506,1546,67
Virginia,11,17.6,52514,512,512,497,1521,71
Washington,10,19.4,55651,524,532,508,1564,57
West Virginia,12,13.9,48255,515,507,500,1522,17
Wisconsin,12,15.1,53826,595,604,579,1778,5
Wyoming,17,12.5,58652,570,567,546,1683,5
