otherCellLine,cellLine,correlation
ME.MDA_N,ME.MDA_MB_435,0.983890542
OV.OVCAR_8,OV.NCI_ADR_RES,0.971244611
CNS.U251,CNS.SNB_19,0.909697398
ME.MDA_MB_435,ME.M14,0.864248471
ME.MDA_N,ME.M14,0.863745488
RE.UO_31,RE.ACHN,0.86249667
ME.UACC_257,ME.SK_MEL_28,0.86163127
ME.SK_MEL_28,ME.M14,0.860508842
RE.UO_31,RE.CAKI_1,0.857551037
RE.RXF_393,RE.786_0,0.848028972
LE.MOLT_4,LE.CCRF_CEM,0.844628639
ME.UACC_257,ME.MALME_3M,0.842217544
OV.OVCAR_4,OV.OVCAR_3,0.842141761
RE.CAKI_1,RE.ACHN,0.839568961
RE.UO_31,RE.786_0,0.82875635
CNS.SNB_75,CNS.SF_539,0.827939791
CO.HCT_15,CO.HCC_2998,0.827327704
RE.TK_10,RE.ACHN,0.826972257
ME.UACC_62,ME.M14,0.826905812
ME.SK_MEL_28,ME.MALME_3M,0.825088126
LC.HOP_92,BR.MDA_MB_231,0.824736571
RE.TK_10,RE.786_0,0.823562944
ME.UACC_62,ME.SK_MEL_28,0.820097652
RE.RXF_393,RE.CAKI_1,0.818646119
CNS.SF_539,BR.HS578T,0.818515699
ME.UACC_62,ME.MDA_MB_435,0.817640016
RE.RXF_393,RE.A498,0.817410962
RE.CAKI_1,RE.A498,0.817153791
ME.UACC_257,ME.M14,0.816115625
LC.HOP_62,BR.MDA_MB_231,0.814858478
ME.UACC_62,ME.MDA_N,0.813596185
ME.UACC_257,ME.SK_MEL_5,0.813454945
RE.UO_31,RE.RXF_393,0.813443752
RE.SN12C,OV.OVCAR_8,0.812907115
RE.A498,RE.786_0,0.812173833
RE.CAKI_1,RE.786_0,0.812053998
RE.UO_31,RE.TK_10,0.810651143
CO.HT29,CO.HCC_2998,0.808332039
LC.EKVX,LC.A549,0.80817909
RE.TK_10,RE.CAKI_1,0.80693678
LC.HOP_92,LC.HOP_62,0.803860497
CO.KM12,CO.HCC_2998,0.803643955
ME.SK_MEL_28,ME.MDA_MB_435,0.80336118
ME.SK_MEL_28,ME.MDA_N,0.80298067
ME.SK_MEL_28,ME.SK_MEL_2,0.800792253
CO.KM12,CO.HCT_15,0.800333743
CNS.SNB_75,CNS.SF_295,0.799924487
RE.UO_31,LC.HOP_62,0.799844453
ME.SK_MEL_5,ME.SK_MEL_28,0.799484559
CO.HCC_2998,CO.COLO205,0.799298985
ME.UACC_62,ME.UACC_257,0.79880138
BR.T47D,BR.MCF7,0.797921482
RE.ACHN,RE.786_0,0.797370624
RE.SN12C,OV.NCI_ADR_RES,0.797343366
PR.DU_145,LC.A549,0.796309693
RE.SN12C,LC.HOP_62,0.793471194
LC.NCI_H226,LC.HOP_62,0.792481441
RE.RXF_393,RE.ACHN,0.792044371
PR.DU_145,OV.OVCAR_8,0.79150488
CO.HCT_15,CO.COLO205,0.790547528
CNS.SNB_75,BR.HS578T,0.790463827
ME.UACC_62,ME.SK_MEL_2,0.789984887
RE.TK_10,RE.RXF_393,0.789771919
CNS.U251,CNS.SNB_75,0.789617923
ME.UACC_62,ME.SK_MEL_5,0.789583464
PR.DU_145,CO.HCT_116,0.789059094
CNS.SNB_75,CNS.SNB_19,0.788223095
CNS.SNB_19,CNS.SF_268,0.788184276
ME.SK_MEL_2,ME.MDA_N,0.787449468
PR.DU_145,OV.OVCAR_5,0.786282971
RE.TK_10,RE.A498,0.786132461
ME.UACC_257,ME.MDA_N,0.785846425
ME.UACC_257,ME.MDA_MB_435,0.785651937
ME.MALME_3M,ME.M14,0.785038003
RE.CAKI_1,LC.HOP_62,0.784954667
CNS.SF_268,BR.HS578T,0.784867176
RE.CAKI_1,OV.SK_OV_3,0.784371935
ME.SK_MEL_2,ME.MDA_MB_435,0.784102792
ME.SK_MEL_2,ME.M14,0.784003113
CO.KM12,CO.COLO205,0.78253129
OV.OVCAR_5,CO.HCT_116,0.781460593
CO.HT29,CO.HCT_15,0.781443684
RE.SN12C,CNS.SF_268,0.780975203
CO.HCT_15,CO.HCT_116,0.780912858
CNS.SF_539,CNS.SF_295,0.780151142
CNS.SF_295,CNS.SF_268,0.779850948
CNS.SF_539,CNS.SF_268,0.779266453
BR.HS578T,BR.BT_549,0.778612837
CO.SW_620,CO.HCT_15,0.778597914
PR.DU_145,OV.NCI_ADR_RES,0.778452151
LC.NCI_H460,LC.A549,0.77762668
CO.HT29,CO.COLO205,0.777564107
OV.OVCAR_8,LC.HOP_62,0.776654596
CNS.U251,CNS.SF_295,0.776104414
RE.UO_31,RE.A498,0.775876824
PR.DU_145,BR.MDA_MB_231,0.775130112
OV.SK_OV_3,OV.OVCAR_4,0.775087273
RE.ACHN,RE.A498,0.774100861
CNS.SNB_19,CNS.SF_295,0.773520131
OV.OVCAR_5,LC.HOP_62,0.773484691
CNS.U251,CNS.SF_268,0.773011664
PR.DU_145,LC.HOP_62,0.772458342
RE.TK_10,PR.DU_145,0.77234802
LC.NCI_H226,BR.MDA_MB_231,0.772139957
RE.RXF_393,LC.HOP_92,0.771868241
PR.DU_145,OV.SK_OV_3,0.771367343
CNS.SF_268,BR.BT_549,0.771121955
OV.NCI_ADR_RES,LC.HOP_62,0.771121858
RE.RXF_393,CNS.SF_539,0.771066516
CO.KM12,CO.HT29,0.770845389
LC.NCI_H226,CNS.SF_268,0.77039505
OV.OVCAR_5,BR.MDA_MB_231,0.769913193
RE.SN12C,PR.DU_145,0.767908147
LC.HOP_62,CNS.SF_268,0.767869747
RE.SN12C,BR.MDA_MB_231,0.767689453
LC.HOP_62,CNS.SF_295,0.767273977
ME.SK_MEL_5,ME.M14,0.767120075
OV.SK_OV_3,OV.IGROV1,0.766425052
RE.UO_31,LC.NCI_H226,0.766317416
OV.OVCAR_5,LC.A549,0.765594094
LC.HOP_62,CNS.SF_539,0.765141399
CNS.SF_539,BR.BT_549,0.764705806
OV.OVCAR_4,OV.IGROV1,0.763912449
RE.TK_10,OV.SK_OV_3,0.763798918
CNS.SNB_75,CNS.SF_268,0.763028714
PR.DU_145,LC.NCI_H23,0.762859038
RE.UO_31,RE.SN12C,0.762660474
RE.RXF_393,BR.MDA_MB_231,0.762296449
ME.SK_MEL_5,ME.MALME_3M,0.761905671
RE.786_0,LC.HOP_62,0.76162098
PR.PC_3,OV.OVCAR_5,0.760948263
RE.SN12C,LC.NCI_H226,0.760822202
CNS.SNB_75,BR.BT_549,0.759676661
RE.ACHN,PR.DU_145,0.759226101
PR.DU_145,LC.EKVX,0.758985834
RE.SN12C,RE.CAKI_1,0.758978047
CO.SW_620,CO.HCT_116,0.758852065
RE.CAKI_1,LC.A549,0.758497737
RE.RXF_393,LC.NCI_H226,0.758241799
CNS.SF_295,BR.HS578T,0.757841245
RE.RXF_393,LC.HOP_62,0.757279159
RE.ACHN,OV.SK_OV_3,0.75683368
OV.OVCAR_8,BR.MDA_MB_231,0.756443208
RE.UO_31,BR.MDA_MB_231,0.756107272
LC.NCI_H226,BR.BT_549,0.755902448
RE.TK_10,BR.MDA_MB_231,0.75529521
RE.CAKI_1,BR.MDA_MB_231,0.755041168
ME.UACC_257,ME.SK_MEL_2,0.754636222
RE.UO_31,OV.SK_OV_3,0.754419511
PR.PC_3,LC.HOP_62,0.754286265
CO.SW_620,CO.HCC_2998,0.754153233
LC.NCI_H522,LC.NCI_H23,0.752233617
PR.DU_145,LC.HOP_92,0.751592345
OV.OVCAR_8,CNS.SF_268,0.751482812
RE.UO_31,PR.DU_145,0.75106714
RE.RXF_393,BR.HS578T,0.749238566
RE.CAKI_1,PR.DU_145,0.749043929
OV.OVCAR_5,LC.HOP_92,0.748902933
RE.786_0,BR.MDA_MB_231,0.74858457
CO.SW_620,CO.COLO205,0.748015481
RE.786_0,OV.SK_OV_3,0.747422552
RE.A498,LC.A549,0.746466765
PR.PC_3,BR.MDA_MB_231,0.745874951
PR.DU_145,LC.NCI_H226,0.745326476
RE.CAKI_1,LC.NCI_H226,0.745201242
ME.UACC_62,ME.MALME_3M,0.745071674
OV.OVCAR_8,LC.NCI_H226,0.743961883
PR.PC_3,PR.DU_145,0.743960241
OV.SK_OV_3,OV.OVCAR_5,0.743951967
RE.SN12C,BR.BT_549,0.743847364
OV.SK_OV_3,LC.A549,0.742835852
LC.HOP_62,BR.BT_549,0.742682375
RE.A498,LC.NCI_H226,0.742388323
ME.SK_MEL_5,ME.MDA_N,0.741887101
RE.UO_31,OV.OVCAR_8,0.741859981
RE.ACHN,BR.MDA_MB_231,0.741812854
RE.CAKI_1,OV.OVCAR_8,0.741641377
CNS.U251,CNS.SF_539,0.740482771
RE.UO_31,OV.NCI_ADR_RES,0.740469496
OV.OVCAR_5,LC.EKVX,0.74033841
RE.786_0,LC.NCI_H226,0.740157399
RE.RXF_393,BR.BT_549,0.740143774
RE.RXF_393,CNS.SNB_75,0.739993437
ME.SK_MEL_5,ME.MDA_MB_435,0.739706432
PR.DU_145,LC.NCI_H322M,0.739627766
RE.UO_31,OV.OVCAR_5,0.739398689
LC.NCI_H226,BR.HS578T,0.739241742
RE.CAKI_1,OV.NCI_ADR_RES,0.739214433
LC.NCI_H226,CNS.SF_539,0.73905785
PR.DU_145,OV.OVCAR_4,0.738999204
RE.786_0,PR.DU_145,0.738967825
RE.ACHN,LC.HOP_62,0.738847248
OV.NCI_ADR_RES,BR.MDA_MB_231,0.738839468
RE.CAKI_1,OV.OVCAR_5,0.738642811
RE.SN12C,RE.ACHN,0.737999781
RE.CAKI_1,LC.HOP_92,0.737840633
RE.ACHN,OV.OVCAR_5,0.737775644
LC.NCI_H23,LC.A549,0.737543565
RE.SN12C,LC.HOP_92,0.736950564
RE.RXF_393,OV.SK_OV_3,0.736420862
RE.A498,OV.SK_OV_3,0.736252485
OV.NCI_ADR_RES,CNS.SF_268,0.735486594
OV.OVCAR_5,CO.HCT_15,0.735477997
RE.786_0,LC.HOP_92,0.735326913
OV.SK_OV_3,OV.OVCAR_8,0.735287969
CO.HCT_116,CO.HCC_2998,0.735114338
OV.OVCAR_5,CO.SW_620,0.734748873
RE.UO_31,LC.HOP_92,0.734170376
OV.NCI_ADR_RES,LC.NCI_H226,0.734165615
LC.HOP_62,CNS.U251,0.734027028
RE.UO_31,CNS.SF_268,0.733698941
CNS.SNB_19,CNS.SF_539,0.733312318
OV.SK_OV_3,OV.OVCAR_3,0.732904097
RE.ACHN,OV.OVCAR_8,0.732791433
LC.NCI_H23,LC.HOP_62,0.732473511
RE.CAKI_1,PR.PC_3,0.732371865
OV.SK_OV_3,BR.MDA_MB_231,0.732304762
RE.TK_10,OV.OVCAR_5,0.732093482
ME.SK_MEL_2,ME.MALME_3M,0.731942273
LC.NCI_H226,CNS.SNB_75,0.731563237
RE.ACHN,LC.A549,0.731198037
LC.HOP_62,BR.HS578T,0.730498609
CO.SW_620,CO.KM12,0.73026868
PR.PC_3,CO.HCT_116,0.729484409
CNS.SF_295,BR.BT_549,0.729286028
LC.NCI_H226,LC.HOP_92,0.729229034
RE.CAKI_1,BR.BT_549,0.728757706
LC.NCI_H23,LC.EKVX,0.728501864
RE.TK_10,OV.OVCAR_8,0.728056375
RE.TK_10,LC.HOP_62,0.727943325
RE.SN12C,RE.786_0,0.727577208
RE.ACHN,OV.NCI_ADR_RES,0.727554664
PR.DU_145,CO.HCT_15,0.727519156
RE.786_0,CNS.SF_539,0.727430347
RE.SN12C,ME.LOXIMVI,0.727287876
RE.A498,PR.DU_145,0.726958529
OV.OVCAR_5,LC.NCI_H322M,0.726065949
LC.NCI_H322M,CO.HCT_15,0.72597844
PR.PC_3,LC.HOP_92,0.725955804
CNS.SF_268,BR.MDA_MB_231,0.725361021
OV.OVCAR_5,OV.IGROV1,0.725222092
ME.MDA_N,ME.MALME_3M,0.724798756
CO.KM12,CO.HCT_116,0.724793574
LC.NCI_H226,CNS.SF_295,0.72464731
RE.SN12C,CNS.SF_295,0.724425894
OV.SK_OV_3,LC.NCI_H226,0.724188045
RE.UO_31,OV.OVCAR_4,0.72404147
RE.786_0,OV.OVCAR_5,0.724002619
RE.CAKI_1,CNS.SF_295,0.723930835
OV.OVCAR_5,LC.NCI_H226,0.7238536
OV.SK_OV_3,OV.NCI_ADR_RES,0.723468336
ME.MDA_MB_435,ME.MALME_3M,0.723279775
PR.PC_3,LC.NCI_H226,0.723187632
OV.OVCAR_8,LC.NCI_H23,0.723076606
RE.RXF_393,CNS.SF_295,0.72301623
OV.OVCAR_3,OV.IGROV1,0.722857419
LC.HOP_62,CNS.SNB_19,0.722839786
OV.OVCAR_4,CO.HCT_116,0.722806919
OV.SK_OV_3,LC.HOP_62,0.722502058
PR.DU_145,LC.NCI_H460,0.722463024
RE.786_0,LC.A549,0.722431539
RE.TK_10,OV.OVCAR_4,0.722399111
ME.SK_MEL_5,ME.SK_MEL_2,0.722268448
